group_id,group_name,member_names,review,parcels,sample_members
0,"BEAZER HOMES, LLC",256,REVIEW,2216,1212 BAPTIST WORLD CENTER LLC; 1404 14TH EC LLC; 1602 EIGHTH AVENUE LLC; 1606COCKRILLSTREETTNVL LLC; 1715 HEIMAN STREET LLC; 2109 14TH AVENUE NORTH LLC; 2110 14TH AVE N LLC; 2253 EDWARD RD VEG LLC
1,WHITE PINES BUILDING GROUP LLC,308,REVIEW,1213,1134 HARMONY WAY LLC; 1516 CHURCH STREET PROPERTIES; 206 ACKLEN PARK LLC; 4204 PROPERTIES LLC; 421 BROADWAY LLC; 615 PROPERTIES LLC; A & G PROPERTIES LLC; A & M PROPERTIES
2,AMH TN DEVELOPMENT LLC,24,,1139,AH4R 1 TN LLC; AH4R I TN LLC; AH4R PROPERTIES TWO LLC; AH4R TN 11 LLC; AH4R TN 3 LLC; AH4R TN LLC; AH4R TN PROPERITES TWO LLC; AH4R TN PROPERTIES TWO LLC
3,REGENT HOMES LLC,20,,825,3131 LONG BOULEVARD GP; BAC BUILDINGS LLC; BRENTWOOD REVOCABLE LIVING TRUST THE; BURKITT RIDGE APARTMENTS LLC; LENOX VILLAGE I & III LLC; LENOX VILLAGE I LLC; LENOX VILLAGE II LLC; LENOX VILLAGE III LLC
4,LEGACY SOUTH LLC,12,,788,AT DUPONT PROPCO LLC; AT2 HAYWOOD LLC; AT3 MARKHAM EAST LLC; LEGACY SOUTH LLC; LS TG HOME FUND LLC; O I C HOMES AT 412 MERCOMATIC DRIVE; O I C HOMES AT MERCOMATIC DRIVE; PICTURESQUE PROPERTIES LLC
5,BARS HOOPER HOLDINGS LLC,154,REVIEW,760,106 A MYRTLE LLC; 106 MYRTLE STREET LLC; 109 WOODRUFF LLC; 1315 C 16TH AVE S LLC; 1315 MUSIC ROW LLC; 1922 12TH AVE LLC; 202 CASA PLAYA LLC; 205 N 9TH STREET LLC
6,"PROGRESS RESIDENTIAL BORROWER 6, LLC",32,,743,PROGESS RESIDENTIAL BORROWER 3 LLC; PROGRESS RESEDENTIAL BORROWER 11 LLC; PROGRESS RESIDENTAL BORROWER 5 LLC; PROGRESS RESIDENTIAL 2015 3 BORROWER LLC; PROGRESS RESIDENTIAL BORROER 11 LLC; PROGRESS RESIDENTIAL BORROWER 1 LLC; PROGRESS RESIDENTIAL BORROWER 10 LLC; PROGRESS RESIDENTIAL BORROWER 11 LLC
7,"801 CHURCH, LLC",5,,621,1010 CHURCH OWNER LLC; 505 APARTMENTS LLC; 801 CHURCH LLC; 900 CHURCH LLC; 900 CHURCH OWNER LLC
8,J2K BUILDERS LLC,109,REVIEW,474,1742 17TH AVENUE NORTH JOINT VENTURE PARTNERSHIP; 5203 ILLINOIS AVE TRUST; 5205 PENNSYLVANIA AVE TRUST; 5209 PENNSYLVANIA AVE TRUST; 6007 LOUISIANA AVE TRUST; ACKLEN 8 LLC; ARRIVED TN CONWAY LLC; ARRIVED TN DOLLY LLC
9,"MANDY DEVELOPMENT , LLC",63,REVIEW,416,222 1801 TRUST; 2404 CRESTMOOR LLC; 443 DONELSON PIKE LLC; 4CAN INVESTMENTS LLC; ACE REALTY INVESTMENTS LLC; ALBERT FAMILY TRUST THE & LLAMA LIVING TRUST THE; APOLLO & LA & TUSC LLC; ARTEMIS HOUSE TRUST THE
10,MERITAGE HOMES OF TENNESSEE INC,2,,387,MERITAGE HOMES OF TENNESSE INC; MERITAGE HOMES OF TENNESSEE INC
11,"MUSIC CITY  HOLDINGS, LLC",30,,319,215 ONE MILE PKWY LLC; BELLE MEADE TITLE AND ESCROW CORPORATION; BUEN GUSALI LLC; C LEE PROPERTIES LLC; CITY MUSIC TRUST THE; DS INVESTMENTS & RENTALS LLC; E LEE PROPERTIES LLC & CAITLIN CUSTOM HOMES & ETAL; HOBBS ROY MEMORIAL TRUST
12,AFFORDABLE HOUSING RESOURCES INC,54,REVIEW,316,1109 LAWRENCE TRUST THE; 222 OZ LLC; AFFORDABLE HOUSING RESOURCES INC; AFFORDABLE HOUSING RESOURCES INC ETAL; B D P DEVELOPMENT CO LLC; B I G DEVELOPMENT INC; BRUCE ZEITLIN HOMES INC; C & S BUILDERS INC
13,OLE SOUTH PROPERTIES INC,16,,304,BARNES CROSSING LLC; CASON LANE DEVELOPMENT PARTNERS; CORNERSTONE LAND CO; GLOBAL CONSTRUCTION INC; GLOBAL DEVELOPMENT; GLOBAL DEVELOPMENT INC; JACK WILLIAMS CONSTRUCTION CO INC; OLD HICKORY COMMONS HOMEOWNERS ASSOC INC
14,RIVER RETREAT LTD.,2,,292,RIVER RETREAT II LTD; RIVER RETREAT LTD
15,URBAN CAPITAL LLC,56,REVIEW,281,1910 HUTTON DR LLC; 4417 GW LLC; BBW PROPERTIES LLC; HAUCO LLC; JNBW PROPERTIES LLC; JTK PROPERTIES LLC; MAD SHU PROPERTIES LLC; MAS SHU PROPERTIES LLC
16,Craighead Partners,101,REVIEW,276,A & C INVESTMENTS LLC; A & M LLC; A & N INVESTMENTS LLC; A INVESTMENTS LLC; A L DEVELOPMENT LLC; B & C INVESTMENTS LLC; B & E INVESTMENTS; B & G INVESTMENTS LLC
