owner_name_clean,stem,raw_examples,group_id,group_name,owner_parcels
1212 BAPTIST WORLD CENTER LLC,1212 BAPTIST WORLD CENTER,"1212 BAPTIST WORLD CENTER, LLC",0,"BEAZER HOMES, LLC",1
1404 14TH EC LLC,1404 14TH EC,"1404 14TH EC, LLC",0,"BEAZER HOMES, LLC",3
1602 EIGHTH AVENUE LLC,1602 EIGHTH AVENUE,"1602 EIGHTH AVENUE, LLC",0,"BEAZER HOMES, LLC",1
1606COCKRILLSTREETTNVL LLC,1606COCKRILLSTREETTNVL,"1606COCKRILLSTREETTNVL, LLC",0,"BEAZER HOMES, LLC",1
1715 HEIMAN STREET LLC,1715 HEIMAN STREET,"1715 HEIMAN STREET, LLC",0,"BEAZER HOMES, LLC",2
2109 14TH AVENUE NORTH LLC,2109 14TH AVENUE NORTH,"2109 14TH AVENUE NORTH, LLC",0,"BEAZER HOMES, LLC",3
2110 14TH AVE N LLC,2110 14TH AVE N,"2110 14TH AVE N, LLC",0,"BEAZER HOMES, LLC",1
2253 EDWARD RD VEG LLC,2253 EDWARD RD VEG,2253 EDWARD RD (VEG) LLC,0,"BEAZER HOMES, LLC",1
23RD AVE N REVERSE LLC,23RD AVE N REVERSE,"23RD AVE N REVERSE, LLC",0,"BEAZER HOMES, LLC",2
2B INVESTMENTS LLC,2B INVESTMENTS,"2B INVESTMENTS, LLC",0,"BEAZER HOMES, LLC",3
2K DEVELOPMENT LLC,2K DEVELOPMENT,"2K DEVELOPMENT LLC; 2K DEVELOPMENT, LLC",0,"BEAZER HOMES, LLC",17
4021 CLARKSVILLE PIKE LLC,4021 CLARKSVILLE PIKE,4021 CLARKSVILLE PIKE LLC,0,"BEAZER HOMES, LLC",7
5P GROUP GP,5P GROUP,"5P GROUP, GP",0,"BEAZER HOMES, LLC",3
934 JEFFERSON LLC,934 JEFFERSON,"934 JEFFERSON LLC; 934 JEFFERSON, LLC",0,"BEAZER HOMES, LLC",5
A O PROPCO 1 LLC,A O PROPCO 1,"A O PROPCO 1, LLC",0,"BEAZER HOMES, LLC",1
ABBINGTON PARK HOMEOWNERS ASSN INC,ABBINGTON PARK HOMEOWNERS ASSN,"ABBINGTON PARK HOMEOWNERS ASSN., INC.",0,"BEAZER HOMES, LLC",9
ABBINGTON PARK HOMEOWNERS ASSOC INC,ABBINGTON PARK HOMEOWNERS,"ABBINGTON PARK HOMEOWNERS ASSOC. INC.; ABBINGTON PARK HOMEOWNERS ASSOCIATION, INC.",0,"BEAZER HOMES, LLC",4
ADG HOLDINGS LLC SERIES 1055 ZOPHI ST LLC,ADG HOLDINGS LLC SERIES 1055 ZOPHI ST,"ADG HOLDINGS LLC SERIES 1055 ZOPHI ST, LLC",0,"BEAZER HOMES, LLC",3
AMERICAN HOMES LLC,AMERICAN HOMES,"AMERICAN HOMES LLC; AMERICAN HOMES, LLC",0,"BEAZER HOMES, LLC",23
AMNL ASSET CO 1 LLC,AMNL ASSET CO 1,AMNL ASSET COMPANY 1 LLC,0,"BEAZER HOMES, LLC",11
AMNL ASSET CO 2 LLC,AMNL ASSET CO 2,"AMNL ASSET COMPANY 2 LLC; AMNL ASSET COMPANY 2, LLC",0,"BEAZER HOMES, LLC",9
AMNL ASSET CO 3 LLC,AMNL ASSET CO 3,"AMNL ASSET COMPANY 3 LLC; AMNL ASSET COMPANY 3, LLC",0,"BEAZER HOMES, LLC",5
AO PROPCO 1 LLC,AO PROPCO 1,"AO PROPCO 1 LLC; AO PROPCO 1, LLC",0,"BEAZER HOMES, LLC",11
ARMM ASSET CO 1 LLC,ARMM ASSET CO 1,"ARMM ASSET COMPANY 1 LLC; ARMM ASSET COMPANY 1, LLC",0,"BEAZER HOMES, LLC",9
ARMM ASSET CO 2 LLC,ARMM ASSET CO 2,"ARMM ASSET COMPANY 2 LLC; ARMM ASSET COMPANY 2, LLC",0,"BEAZER HOMES, LLC",11
ARMM ASSETS 2 LLC,ARMM ASSETS 2,ARMM ASSETS 2 LLC,0,"BEAZER HOMES, LLC",43
ARMM ASSETS 3 LLC,ARMM ASSETS 3,"ARMM ASSETS 3, LLC",0,"BEAZER HOMES, LLC",23
ASSET MANAGEMENT LLC,ASSET MANAGEMENT,"ASSET MANAGEMENT, LLC",0,"BEAZER HOMES, LLC",3
BAF 3 LLC,BAF 3,"BAF 3 LLC; BAF 3, LLC",0,"BEAZER HOMES, LLC",10
BAF ASSETS 2 LLC,BAF ASSETS 2,"BAF ASSETS 2, LLC",0,"BEAZER HOMES, LLC",15
BAF ASSETS 3 LLC,BAF ASSETS 3,"BAF ASSETS 3, LLC",0,"BEAZER HOMES, LLC",18
BAF ASSETS 4 LLC,BAF ASSETS 4,"BAF ASSETS 4, LLC",0,"BEAZER HOMES, LLC",16
BAF ASSETS 5 LLC,BAF ASSETS 5,"BAF ASSETS 5 LLC; BAF ASSETS 5 LLLC; BAF ASSETS 5, LLC",0,"BEAZER HOMES, LLC",47
BAF ASSETS 6 LLC,BAF ASSETS 6,"BAF ASSETS 6, LLC",0,"BEAZER HOMES, LLC",30
BAF ASSETS LLC,BAF ASSETS,"BAF ASSETS, LLC",0,"BEAZER HOMES, LLC",11
BALL DEVELOPMENT LLC,BALL DEVELOPMENT,BALL DEVELOPMENT LLC,0,"BEAZER HOMES, LLC",1
BATTERY LANE TRUST THE,BATTERY LANE TRUST THE,"BATTERY LANE TRUST, THE; BATTERY, LANE TRUST, THE",0,"BEAZER HOMES, LLC",2
BEAZER HOME LLC,BEAZER HOME,"BEAZER HOME, LLC",0,"BEAZER HOMES, LLC",1
BEAZER HOMES,BEAZER HOMES,BEAZER HOMES,0,"BEAZER HOMES, LLC",1
BEAZER HOMES CORP,BEAZER HOMES,BEAZER  HOMES CORP.; BEAZER HOMES CORP; BEAZER HOMES CORP.,0,"BEAZER HOMES, LLC",50
BEAZER HOMES INC,BEAZER HOMES,BEAZER HOMES INC,0,"BEAZER HOMES, LLC",1
BEAZER HOMES LLC,BEAZER HOMES,"BEAZER HOMES, LLC",0,"BEAZER HOMES, LLC",161
BERRY HILL VENTURES LLC,BERRY HILL VENTURES,"BERRY HILL VENTURES, LLC",0,"BEAZER HOMES, LLC",1
BLUE CANYON PROPERTIES G P,BLUE CANYON PROPERTIES G P,"BLUE CANYON PROPERTIES, G P",0,"BEAZER HOMES, LLC",1
BLUE CANYON PROPERTIES GP,BLUE CANYON PROPERTIES,"BLUE CANYON PROPERTIES, GP",0,"BEAZER HOMES, LLC",13
BTR SCATTERED SITE OWNER 2 LLC,BTR SCATTERED SITE OWNER 2,"BTR SCATTERED SITE OWNER 2, LLC",0,"BEAZER HOMES, LLC",5
BTR SCATTERED SITE OWNER LLC,BTR SCATTERED SITE OWNER,BTR SCATTERED SITE OWNER LLC,0,"BEAZER HOMES, LLC",1
C & D RENTAL PROPERTIES LLC,C & D RENTAL PROPERTIES,"C & D RENTAL PROPERTIES, LLC",0,"BEAZER HOMES, LLC",4
C ROB INVESTMENTS LLC,C ROB INVESTMENTS,"C-ROB INVESTMENTS, LLC",0,"BEAZER HOMES, LLC",2
CAPITAL HOMES LP,CAPITAL HOMES,"CAPITAL HOMES LP; CAPITAL HOMES, LP",0,"BEAZER HOMES, LLC",11
CARNEY DENNIS EDWIN REVOCABLE TRUST,CARNEY DENNIS EDWIN REVOCABLE,"CARNEY, DENNIS EDWIN REVOCABLE TRUST",0,"BEAZER HOMES, LLC",1
CARNEY DENNIS PHOTOGRAPHY INC,CARNEY DENNIS PHOTOGRAPHY,"CARNEY, DENNIS PHOTOGRAPHY, INC.",0,"BEAZER HOMES, LLC",3
CHANNING PARTNERS GP,CHANNING PARTNERS,"CHANNING PARTNERS, GP",0,"BEAZER HOMES, LLC",6
CLARK & HUDDLESTON PROPERTIES LLC,CLARK & HUDDLESTON PROPERTIES,"CLARK & HUDDLESTON PROPERTIES LLC; CLARK & HUDDLESTON PROPERTIES, LLC",0,"BEAZER HOMES, LLC",12
CLARKS & HUDDLESTON PROPERTIES LLC,CLARKS & HUDDLESTON PROPERTIES,"CLARKS & HUDDLESTON PROPERTIES, LLC",0,"BEAZER HOMES, LLC",1
CRAIOVA LLC,CRAIOVA,"CRAIOVA LLC; CRAIOVA, LLC",0,"BEAZER HOMES, LLC",3
CRYSTAL BAY LLC,CRYSTAL BAY,"CRYSTAL BAY LLC; CRYSTAL BAY, LLC",0,"BEAZER HOMES, LLC",45
CRYSTALL BAY LLC,CRYSTALL BAY,"CRYSTALL BAY, LLC",0,"BEAZER HOMES, LLC",1
CUMBERLAND ADVISORY GROUP,CUMBERLAND ADVISORY GROUP,CUMBERLAND ADVISORY GROUP,0,"BEAZER HOMES, LLC",1
CUMBERLAND ADVISORY GROUP LLC,CUMBERLAND ADVISORY GROUP,"CUMBERLAND ADVISORY GROUP LLC; CUMBERLAND ADVISORY GROUP, LLC",0,"BEAZER HOMES, LLC",7
CUMBERLAND ADVISORY GROUP LLC & NASHPROP INC,CUMBERLAND ADVISORY GROUP LLC & NASHPROP,"CUMBERLAND ADVISORY GROUP, LLC & NASHPROP, INC.",0,"BEAZER HOMES, LLC",4
CUMBERLAND ADVISORY LLC,CUMBERLAND ADVISORY,CUMBERLAND ADVISORY LLC,0,"BEAZER HOMES, LLC",3
CUMBERLAND PROPERTIES LLC,CUMBERLAND PROPERTIES,"CUMBERLAND PROPERTIES, LLC",0,"BEAZER HOMES, LLC",2
CUMBERLAND RIDGE PROPERTIES LLC,CUMBERLAND RIDGE PROPERTIES,"CUMBERLAND RIDGE PROPERTIES, LLC",0,"BEAZER HOMES, LLC",1
D & A VENTURES LLC,D & A VENTURES,"D & A VENTURES, LLC",0,"BEAZER HOMES, LLC",5
DB PARTNERS LLC,DB PARTNERS,"DB PARTNERS, LLC",0,"BEAZER HOMES, LLC",20
DENNIS EDWIN CARNEY REVOCABLE TRUST,DENNIS EDWIN CARNEY REVOCABLE,DENNIS EDWIN CARNEY REVOCABLE TRUST,0,"BEAZER HOMES, LLC",2
DOUBLEDAY B B JR & C HOOPER DEV CO,DOUBLEDAY B B JR & C HOOPER DEV,"DOUBLEDAY, B.B.,JR. & C. HOOPER DEV. CO.",0,"BEAZER HOMES, LLC",1
EASTLAND VENTURES,EASTLAND VENTURES,EASTLAND VENTURES,0,"BEAZER HOMES, LLC",1
EASTLAND VENTURES LLC,EASTLAND VENTURES,"EASTLAND VENTURES, LLC",0,"BEAZER HOMES, LLC",11
