owner_name_clean,group_id,group_label,final_parent,status,owner_parcels,attribution
1212 BAPTIST WORLD CENTER LLC,0,Amherst Residential,,CONFLICT,1,pipeline-link
1404 14TH EC LLC,0,Amherst Residential,,CONFLICT,3,pipeline-link
1602 EIGHTH AVENUE LLC,0,Amherst Residential,,CONFLICT,1,pipeline-link
1606COCKRILLSTREETTNVL LLC,0,Amherst Residential,,CONFLICT,1,pipeline-link
1715 HEIMAN STREET LLC,0,Amherst Residential,,CONFLICT,2,pipeline-link
2109 14TH AVENUE NORTH LLC,0,Amherst Residential,,CONFLICT,3,pipeline-link
2110 14TH AVE N LLC,0,Amherst Residential,,CONFLICT,1,pipeline-link
2253 EDWARD RD VEG LLC,0,Amherst Residential,,CONFLICT,1,pipeline-link
23RD AVE N REVERSE LLC,0,Amherst Residential,,CONFLICT,2,pipeline-link
2B INVESTMENTS LLC,0,Amherst Residential,,CONFLICT,3,pipeline-link
2K DEVELOPMENT LLC,0,Amherst Residential,,CONFLICT,17,pipeline-link
4021 CLARKSVILLE PIKE LLC,0,Amherst Residential,,CONFLICT,7,pipeline-link
5P GROUP GP,0,Amherst Residential,,CONFLICT,3,pipeline-link
934 JEFFERSON LLC,0,Amherst Residential,,CONFLICT,5,pipeline-link
A O PROPCO 1 LLC,0,Amherst Residential,,CONFLICT,1,pipeline-link
ABBINGTON PARK HOMEOWNERS ASSN INC,0,Amherst Residential,,CONFLICT,9,pipeline-link
ABBINGTON PARK HOMEOWNERS ASSOC INC,0,Amherst Residential,,CONFLICT,4,pipeline-link
ADG HOLDINGS LLC SERIES 1055 ZOPHI ST LLC,0,Amherst Residential,,CONFLICT,3,pipeline-link
AMERICAN HOMES LLC,0,Amherst Residential,,CONFLICT,23,pipeline-link
AMNL ASSET CO 1 LLC,0,Amherst Residential,Amherst Residential,CONFLICT,11,settled-pattern
AMNL ASSET CO 2 LLC,0,Amherst Residential,Amherst Residential,CONFLICT,9,settled-pattern
AMNL ASSET CO 3 LLC,0,Amherst Residential,Amherst Residential,CONFLICT,5,settled-pattern
AO PROPCO 1 LLC,0,Amherst Residential,,CONFLICT,11,pipeline-link
