group_id,status,parents,curated_members,new_members,new_parcels,new_names
0,CONFLICT,Amherst Residential | Beazer Homes (builder) | My Community Homes (KKR),30,226,1675,1212 BAPTIST WORLD CENTER LLC; 1404 14TH EC LLC; 1602 EIGHTH AVENUE LLC; 1606COCKRILLSTREETTNVL LLC; 1715 HEIMAN STREET LLC; 2109 14TH AVENUE NORTH LLC; 2110 14TH AVE N LLC; 2253 EDWARD RD VEG LLC; 23RD AVE N REVERSE LLC; 2B INVESTMENTS LLC
1,CONFLICT,Amherst Residential | Home Partners (Blackstone),2,306,1206,1134 HARMONY WAY LLC; 1516 CHURCH STREET PROPERTIES; 206 ACKLEN PARK LLC; 4204 PROPERTIES LLC; 421 BROADWAY LLC; 615 PROPERTIES LLC; A & G PROPERTIES LLC; A & M PROPERTIES; A & M PROPERTIES LLC; A & P PROPERTIES LLC
9,CONFLICT,Amherst Residential | KSSK,2,61,411,222 1801 TRUST; 2404 CRESTMOOR LLC; 443 DONELSON PIKE LLC; 4CAN INVESTMENTS LLC; ACE REALTY INVESTMENTS LLC; ALBERT FAMILY TRUST THE & LLAMA LIVING TRUST THE; APOLLO & LA & TUSC LLC; ARTEMIS HOUSE TRUST THE; BUENA VISTA TN RENTALS LLC; CBC INVESTMENTS LLC
24,CONFLICT,Brookfield Residential BTR | Grandview Partners (Thornton Grove),5,19,102,BROOKVIEW FOREST HOMEOWNERS ASSOC INC; BROOKVIEW HOMEOWNERS ASSOC INC; CANE RIDGE FARMS HOMEOWNERS ASSN INC; CANE RIDGE FARMS HOMEOWNERS ASSOC INC; CENTEX HOMES CORP; HEIGHTS OF AUTUMN OAKS HOMEOWNERS ASSOCATION INC; LENOX VILLAGE NEIGHBORHOOD ASSOC INC; MOUNTAIN VIEW HOMEOWNERS ASSOC INC; PROVINCETOWN HOMEOWNERS ASSOC INC; PROVINCETOWN TOWNHOME ASSOC INC
308,CONFLICT,Home Partners (Blackstone) | Tricon Residential,7,1,6,GIANNINI FAMILY TRUST
472,CONFLICT,Home Partners (Blackstone) | Tricon Residential,8,1,4,SFR BORROWER 2021 2 LLC & ET AL
731,CONFLICT,Maymont Homes (Brookfield) | Progress Residential,4,1,1,RESIDENTAL HOME BUYER E NASHVILLE LLC
755,CONFLICT,Lennar (builder) | Upward America (Lennar BTR),2,1,1,O I C HOMES AT 422 38TH AVENUE NORTH
114,CONFLICT,Invitation Homes | Invitation Homes (ResiBuilt),2,0,0,
8,EXTENDS,Arrived Homes,4,105,470,1742 17TH AVENUE NORTH JOINT VENTURE PARTNERSHIP; 5203 ILLINOIS AVE TRUST; 5205 PENNSYLVANIA AVE TRUST; 5209 PENNSYLVANIA AVE TRUST; 6007 LOUISIANA AVE TRUST; ACKLEN 8 LLC; ARRIVED TN JOHNNY LLC; BAROONA LLC; BEST BUILT CONSTRUCTION INC; BEST BUILT GROUP LLC
13,EXTENDS,Ole South (builder),1,15,204,BARNES CROSSING LLC; CASON LANE DEVELOPMENT PARTNERS; CORNERSTONE LAND CO; GLOBAL CONSTRUCTION INC; GLOBAL DEVELOPMENT; GLOBAL DEVELOPMENT INC; JACK WILLIAMS CONSTRUCTION CO INC; OLD HICKORY COMMONS HOMEOWNERS ASSOC INC; OLD HICKORY COMMONS LLC; OLE SOUTH HOLDINGS INC
12,EXTENDS,Grandview Partners (Thornton Grove),1,53,196,1109 LAWRENCE TRUST THE; 222 OZ LLC; AFFORDABLE HOUSING RESOURCES INC ETAL; B D P DEVELOPMENT CO LLC; B I G DEVELOPMENT INC; BRUCE ZEITLIN HOMES INC; C & S BUILDERS INC; C & T DEV CO INC; C & T DEVELOPMENT CO INC; CAIN KATE B TR & CAIN JOHN E III
3,EXTENDS,Regent Homes (builder),3,17,174,3131 LONG BOULEVARD GP; BAC BUILDINGS LLC; BRENTWOOD REVOCABLE LIVING TRUST THE; LENOX VILLAGE I & III LLC; LENOX VILLAGE I LLC; LENOX VILLAGE II LLC; MCGOWAN FAMILY INVESTMENTS LLC; MCGOWAN INVESTMENTS INC; MCGOWEN INVESTMENTS INC; MIDTOWN HOTEL PARTNERS LLC
71,EXTENDS,KSSK,1,15,103,29 HERMITAGE CO; 376 MONACO HOLDINGS LLC; HERMITAGE 1 LLC & HERMITAGE 2 LLC; HERMITAGE DEV LLC; HERMITAGE DEVELOPERS INC; HERMITAGE DEVELOPMENT LLC; HERMITAGE HOMES INC; HERMITAGE LAND CO INC; HERMITAGE LANDING INC; HERMITAGE LLC
2,EXTENDS,American Homes 4 Rent,21,3,102,AH4R TN 3 LLC; AH4R TN PROPERITES TWO LLC; MOUNTAIN SPRINGS OWNERS ASSOC INC
27,EXTENDS,PulteGroup (builder),1,15,83,GILCO WOODWELL PROPERTIES LLC; MCEWEN DEVELOPMENT LLC; NASHVILLE RENTALS II LLC; O I C 3413 BENHAM AVENUE HOMES; PITA LLC; PULTE HOMES; PULTE HOMES TENESSEE LTD PARTNERSHIP; PULTE HOMES TENNESSEE; PULTE HOMES TENNESSEE LP; PULTE HOMES TENNESSEE LTD PARTNERSHP
79,EXTENDS,Grandview Partners (Thornton Grove),3,14,82,AVONDALE PARK OWNERS ASSOC INC; BURTON HILLS HOMEOWNERS ASSN INC; BURTON HILLS HOMEOWNERS ASSOC INC; CA NASHVILLE LLC; EATONS CREEK PARK HOMEOWNERS ASSOC INC; FREDERICKSBURG HOA INC; JST NASHVILLE NASHVILLE TRUST; MILL PARK HOMEOWNERS ASSOC INC; NASHVILLE HOMES LLC; NASHVILLE LLC
10,EXTENDS,Meritage Homes (builder),1,1,79,MERITAGE HOMES OF TENNESSE INC
49,EXTENDS,Starwood Capital,6,11,74,4235 VALLEY GROVE DRIVE TRUST THE; 49 TENNESSEE OWNERS ASSOC INC; CARTER CAPITAL GROUP LLC; CARTER REALITY INVESTMENTS; CARTER REALTY INVESTMENTS; CARTER WALTER H TRUSTEE; CARTER WALTER HENRY FAMILY TRUST; CARTER WALTER HENRY FAMILY TRUST THE; CARTER WALTER HENRY REVOCABLE LIVING TRUST; M & M LAVERGNE PARTNERS GP
56,EXTENDS,Hillside Property Partners,7,7,71,CVHC1 LLC; CVHC2 LLC; CVHC6 LLC; HAVEN BUILDERS LLC; MT VIEW 1 LLC; MT VIEW LLC; PHSE1 LLC
94,EXTENDS,Maymont Homes (Brookfield),1,35,60,119 AND 121 N 9TH STREET LLC; 119 AND 131 N 9TH STREET LLC; 1905 10TH AVENUE S LLC; 232 LIVELIHOOD TRUST; 323 UNION ST A JOINT VENTURE; 4042 CRESTRIDGE TRUST; 4911B KENTUCKY LLC; 839 ROSE PARK LLC; AIRPARK HOLDINGS GP; ALAMEDA HOMES LLC
155,EXTENDS,Bluerock Homes,4,14,44,MRE DEVELOPMENT PARTNERS GP; MRE OZ FUND LLC; MUTUAL PROPERTIES; SMITH FAMILY LIVING TRUST THE; SMITH FAMILY REVOCABLE LIVING TRUST; SMITH FAMILY REVOCABLE LIVING TRUST THE; SMITH FAMILY REVOCABLE TRUST; SMITH FAMILY TRUST; SMITH REVOCABLE LIVING TRUST; SMITH REVOCABLE LIVING TRUST THE
231,EXTENDS,Home Partners (Blackstone),1,7,40,910 CAB LLC; CHOUETTE HOLDINGS LLC; OII PROPERTY LP; PARACHUTE 1009 LP; VOCE DEVELOPEMENT CO LLC; VOCE DEVELOPMENT CO LLC; WWCD QOZB LLC
316,EXTENDS,Grandview Partners (Thornton Grove),1,3,29,BELLE PARKE LLC; COBBLESTONE LANDING LLC; EAGLE RIDGE AT THE RESERVE LLC
159,EXTENDS,Progress Residential,5,7,23,2212 12 SOUTH PROPERTY GP; 2214 12 SOUTH PROPERTY LLC; 2311 12 SOUTH PROPERTY GP; 2311 12 SOUTH PROPERTY LLC; ICM SFR LP; IIF SFR LP; IIF VISTA SFR LP
21,EXTENDS,RSD Development,4,5,22,RSD 27TH AVE LLC; RSD 27TH AVENUE LLC; RSD CARSON STREET LLC; RSD HAMILTON AVENUE LLC; RSD VERNON & JAMES LLC
197,EXTENDS,Lux Development,2,8,21,HERMITAGE CREEK OWNERS ASSOC INC; JENNINGS FAMILY LIVING TRUST; JENNINGS FAMILY TRUST; LUX DEVELOPMENT GROUP LLC THE; THE WISE GROUP; WEMBLEY PARK OWNERS ASSOC INC; WISE GROUP INC; WISE GROUP INC THE
499,EXTENDS,American Homes 4 Rent,1,7,19,LISCHEY LIVING LLC; LISCHEY LLC; O I C 209 DUKE ST HOMES; O I C LISCHEY HOMES; O I C NORTH 2ND HOMES; TOP R & A DEVELOPMENT LLC; TOP R AND A DEVELOPMENT LLC
636,EXTENDS,Ashton Woods (builder),1,7,15,BRIDGE EQUITY LLC; CARTER LISA REVOCABLE LIVING TRUST; JANNIE CARTER WILLIAMS REVOCABLE LIVING TRUST; JJZ REALTY PARTNERSHIP G P; LISA CARTER REVOCABLE LIVING TRUST; LISA CARTER REVOCABLE LIVING TRUST & ET AL; WILLIAMS JANNIE CARTER REVOCABLE LIVING TRUST
141,EXTENDS,RESICAP,1,3,12,AVENUE 11 DEVELOPMENT LLC; O I C HOMES AT 802 A & B 28TH AVENUE NO; RESICAP TENNESSEE OWNER III LLC
128,EXTENDS,My Community Homes (KKR),2,7,10,CHARNOCK LES & GINNY LIVING TRUST; O I C HOMES AT 110 LYNN LEE DRIVE AMENDED; O I C HOMES AT 122 HADLEYS BEND; O I C HOMES AT 126 HADLEY S BEND; O I C HOMES AT 202 HADLEYS BEND BLVD; SHERROD ENTERPRISES LLC; SHERROD JEFFREY SCOTT & ROSEMARY LIVING TRUST
622,EXTENDS,Amherst Residential,1,6,10,1009 MUSIC ROW LLC; 4927 BV LLC; O I C HOMES AT 515 SOUTHCREST DRIVE; O I C HOMES AT 517 SOUTHCREST DRIVE; O I C THE HOMES AT 1009 16TH AVENUE; STUDIO MUSIC ROW LLC
349,EXTENDS,American Homes 4 Rent,8,7,9,1001 SHADOW LANE LLC; 1115 PORTER LLC; 1201 PORTER LLC; 2038 GREENWOOD LLC; 2604 COLBERT DRIVE LLC; O I C HOMES AT 1001 SHADOW LANE; REINVEST THE WHEEL LLC
793,EXTENDS,Rithm Capital,1,5,9,BLACKWELL & ASSOC INC; BLACKWELL & ASSOCIATES INC; BLACKWELL FAMILY TRUST; DATA ENTERPRISES INC; NINE4TWO INC
795,EXTENDS,Century Communities (builder),1,4,9,FUTURE IS BRIGHT TRUST; LEGACY FUTURE LLC; NOHO HOUSE LAND TRUST; WHISKEY DUST LAND TRUST & UBER TURBO LAND TRUST
1041,EXTENDS,American Homes 4 Rent,1,5,9,WHITES CREEK ESTATES LLC; WHITES CREEK PIKE FAMILY TRUST; WHITES CREEK PIKE LLC; WHITES CREEK PIKE PROPERTIES LLC; WHITES CREEK PROPERTIES LLC
19,EXTENDS,Progress Residential,2,1,8,PEPLINSKI TRUST
189,EXTENDS,Starwood Capital,1,2,8,MAHDAVI ASGHAR & NANCY TRUSTEE; WINDSOR PARK LLC
842,EXTENDS,Grandview Partners (Thornton Grove),1,1,8,PARKVIEW PRESERVE HOLDING LP
947,EXTENDS,Normandy Group,1,2,7,WILLOW STREET PARTNERS LLC; WILLOW STREET PARTNERS LLC ETAL
1480,EXTENDS,Normandy Group,1,1,6,OCTOBER WOODS HOMEOWNERS ASSOC INC
212,EXTENDS,TPG AG EHC (BTR),1,3,5,JOSH LLC; SHAMS PROPERTIES LLC; TPG AG EHC SD LEN MULTI STATE 1 LLC
2123,EXTENDS,American Homes 4 Rent,1,3,5,WALLACE FAMILY REVOCABLE TRUST; WALLACE FAMILY TRUST; WALLACE LIVING TRUST
112,EXTENDS,APG Rentals (BTR),3,4,4,APG RENTAL LLC; O I C HOMES AT 1431 & 1433 PORTER ROAD; O I C HOMES AT 1904 ELECTRIC AVENUE; O I C HOMES AT 2408 BRASHER AVENUE
1230,EXTENDS,American Homes 4 Rent,2,2,4,GARY BELZ FAMILY LTD PARTNERSHIP; KIVA STUDIOS OF NASHVILLE LLC
1275,EXTENDS,American Homes 4 Rent,5,4,4,O I C HOMES AT 1208 CLEVES STREET; PREMIER TRUST FBO THERESIA G MAXOUTOPOULIS IRA; PREMIER TRUST INC; PREMIER WEST LLC
1315,EXTENDS,Amherst Residential,1,3,4,2160 ROCK CITY LLC; O I C HOMES AT 2160 ROCK CITY; O I C HOMES AT 2211 18TH AVE N
65,EXTENDS,ACPF / CBRE IM,1,1,3,1104 RESIDENCES COMMUNITY ASSOC INC
132,EXTENDS,Drees Homes (builder),1,3,3,DREES PREFERRED COLLECTION INC; DREES PRIEMER HOMES INC; SNODDY CHRIS TRUST THE
209,EXTENDS,Berkshire (Clayton),1,1,3,BERRY HILL INVESTORS LLC
1663,EXTENDS,Hudson SFR,1,1,3,HUDSON SFR PROPERTY HOLDINGS II LLC
3198,EXTENDS,American Homes 4 Rent,1,3,3,MARTIN FAMILY LIVING TRUST; MARTIN FAMILY REVOCABLE LIVING TRUST; MARTIN FAMILY TRUST
6,EXTENDS,Progress Residential,31,1,2,WHITECO LAND CO LLC
25,EXTENDS,Ava Madison (ResiBuilt JV),1,1,2,AVA MADISON LLC C O WESLEY TAUBEL
120,EXTENDS,Toll Brothers (builder),1,1,2,O I C NATIONS OWNERS ASSOICATION INC AMENDED
333,EXTENDS,Opendoor,3,2,2,OPENDOOR PROPERTY I TRUST; OPENDOR PROPERTY TRUST I
1464,EXTENDS,KSSK,1,2,2,NASHBORO MOTEL LLC; RADHE KRISHNA KABUTO LLC
2360,EXTENDS,Amherst Residential,3,2,2,FLORES LIVING TRUST; FLORES LIVING TRUST THE
31,EXTENDS,Crescent Communities BTR,1,1,1,RICHLAND CREEK MF OWNER LLC
225,EXTENDS,Rithm Capital,3,1,1,EMOSTAH LLC
572,EXTENDS,Rethink Community JV,1,1,1,RETHINK COMMUNITY NASVILLE JV LLC
920,EXTENDS,Invitation Homes,1,1,1,NR SN TENNNESSEE A LLC
1156,EXTENDS,Invitation Homes,2,1,1,USCMF SNTENNESSEE A LLC
1356,EXTENDS,Rithm Capital,1,1,1,GVII RS OWNERCO LLC
1427,EXTENDS,Meritage Homes (builder),1,1,1,O I C LOCKEWOOD MYRTLE HOMEOWNERS ASSCIATION INC AMENDED
1495,EXTENDS,Amherst Residential,1,1,1,RH EVERGREE OWNERCO LLC
2727,EXTENDS,Dream Finders (builder),2,1,1,450 460 BIDCO LLC
3106,EXTENDS,Tricon Residential,1,1,1,HP TENNESSE I LLC
4047,EXTENDS,Amherst Residential,1,1,1,O I C HOMES AT 2908 & 2910 STOKERS LANE
5083,EXTENDS,Normandy Group,1,1,1,29TH AVENUE PARTNERS
5125,EXTENDS,Brookfield Residential BTR,1,1,1,IWASGONNA LLC
6835,EXTENDS,American Homes 4 Rent,1,1,1,SHARP KAROL ANN 2014 IRR GIFT TRUST
6953,EXTENDS,American Homes 4 Rent,1,1,1,LAURILO LLC BRIGHTWOOD SERIES A
7655,EXTENDS,Ashton Woods (builder),1,1,1,PETERSON REVOCABLE LIVING TRUST
7859,EXTENDS,American Homes 4 Rent,1,1,1,ROSEWOOD 2 LLC
