Operator,Year,Acquisitions
American Homes 4 Rent,2014,145
American Homes 4 Rent,2015,50
American Homes 4 Rent,2016,17
American Homes 4 Rent,2017,44
American Homes 4 Rent,2018,93
American Homes 4 Rent,2019,201
American Homes 4 Rent,2020,442
American Homes 4 Rent,2021,38
American Homes 4 Rent,2022,11
American Homes 4 Rent,2023,0
American Homes 4 Rent,2024,1
American Homes 4 Rent,2025,0
American Homes 4 Rent,2026,0
Progress Residential,2014,0
Progress Residential,2015,0
Progress Residential,2016,0
Progress Residential,2017,66
Progress Residential,2018,218
Progress Residential,2019,207
Progress Residential,2020,58
Progress Residential,2021,130
Progress Residential,2022,91
Progress Residential,2023,59
Progress Residential,2024,38
Progress Residential,2025,9
Progress Residential,2026,3
Amherst (Main Street Renewal),2014,0
Amherst (Main Street Renewal),2015,0
Amherst (Main Street Renewal),2016,14
Amherst (Main Street Renewal),2017,1
Amherst (Main Street Renewal),2018,3
Amherst (Main Street Renewal),2019,52
Amherst (Main Street Renewal),2020,88
Amherst (Main Street Renewal),2021,52
Amherst (Main Street Renewal),2022,104
Amherst (Main Street Renewal),2023,83
Amherst (Main Street Renewal),2024,83
Amherst (Main Street Renewal),2025,148
Amherst (Main Street Renewal),2026,56
Invitation Homes,2014,0
Invitation Homes,2015,0
Invitation Homes,2016,0
Invitation Homes,2017,0
Invitation Homes,2018,0
Invitation Homes,2019,2
Invitation Homes,2020,77
Invitation Homes,2021,35
Invitation Homes,2022,110
Invitation Homes,2023,34
Invitation Homes,2024,25
Invitation Homes,2025,1
Invitation Homes,2026,0
My Community Homes (KKR),2014,0
My Community Homes (KKR),2015,0
My Community Homes (KKR),2016,0
My Community Homes (KKR),2017,0
My Community Homes (KKR),2018,0
My Community Homes (KKR),2019,0
My Community Homes (KKR),2020,0
My Community Homes (KKR),2021,11
My Community Homes (KKR),2022,61
My Community Homes (KKR),2023,0
My Community Homes (KKR),2024,0
My Community Homes (KKR),2025,0
My Community Homes (KKR),2026,1
FirstKey Homes,2014,0
FirstKey Homes,2015,0
FirstKey Homes,2016,0
FirstKey Homes,2017,0
FirstKey Homes,2018,0
FirstKey Homes,2019,0
FirstKey Homes,2020,0
FirstKey Homes,2021,26
FirstKey Homes,2022,31
FirstKey Homes,2023,3
FirstKey Homes,2024,0
FirstKey Homes,2025,1
FirstKey Homes,2026,0
Conrex / Maymont,2014,0
Conrex / Maymont,2015,0
Conrex / Maymont,2016,0
Conrex / Maymont,2017,0
Conrex / Maymont,2018,0
Conrex / Maymont,2019,4
Conrex / Maymont,2020,0
Conrex / Maymont,2021,4
Conrex / Maymont,2022,1
Conrex / Maymont,2023,5
Conrex / Maymont,2024,1
Conrex / Maymont,2025,1
Conrex / Maymont,2026,0
