year,zip_code,eff,br1,br2,br3,br4
2017,county,700,780,959,1274,1503
2018,county,731,816,1002,1327,1564
2019,county,830,911,1103,1455,1738
2020,county,898,957,1136,1484,1822
2021,county,998,1031,1197,1539,1930
2022,county,1079,1100,1253,1587,1975
2023,county,1218,1245,1406,1758,2173
2024,county,1404,1442,1619,2035,2482
2025,MSA level,1589,1650,1827,2308,2840
2025,37010,1270,1300,1510,2050,2480
2025,37011,1630,1690,1870,2360,2910
2025,37012,1270,1300,1460,1840,2240
2025,37013,1680,1740,1930,2440,3000
2025,37014,2070,2150,2380,3000,3700
2025,37015,1330,1390,1540,1940,2390
2025,37016,1270,1300,1460,1840,2240
2025,37018,1270,1300,1460,1940,2240
2025,37020,1270,1300,1460,1890,2240
2025,37022,1550,1610,1780,2250,2770
2025,37024,1630,1690,1870,2360,2910
2025,37025,1270,1300,1460,1840,2240
2025,37026,1270,1300,1460,1840,2240
2025,37027,2220,2300,2550,3220,3960
2025,37029,1270,1300,1460,1840,2240
2025,37031,1270,1300,1460,1840,2240
2025,37032,1270,1300,1460,1840,2240
2025,37035,1350,1400,1550,1960,2410
2025,37036,1270,1300,1460,1840,2240
2025,37037,1940,2010,2230,2820,3470
2025,37043,1270,1300,1460,1840,2240
2025,37046,1700,1770,2000,2550,3030
2025,37048,1270,1300,1460,1840,2240
2025,37049,1270,1300,1460,1840,2240
2025,37051,1270,1300,1460,1840,2240
2025,37052,1270,1300,1460,1840,2240
2025,37055,1270,1300,1460,1840,2240
2025,37056,1270,1300,1460,1840,2240
2025,37057,1270,1300,1460,1840,2240
2025,37060,1470,1540,1710,2170,2620
2025,37062,1630,1690,1870,2360,2910
2025,37064,1980,2060,2280,2880,3540
2025,37065,2150,2230,2470,3120,3840
2025,37066,1340,1390,1540,1950,2390
2025,37067,2120,2200,2440,3080,3790
2025,37068,2150,2230,2470,3120,3840
2025,37069,2380,2470,2740,3460,4260
2025,37070,1630,1690,1870,2360,2910
2025,37072,1520,1580,1750,2210,2720
2025,37073,1300,1350,1490,1880,2320
2025,37074,1270,1300,1460,1840,2240
2025,37075,1640,1710,1890,2390,2940
2025,37076,1570,1630,1810,2290,2810
2025,37077,1450,1510,1670,2110,2600
2025,37080,1270,1300,1460,1840,2240
2025,37082,1430,1490,1650,2080,2560
2025,37085,1350,1410,1550,1960,2420
2025,37086,1820,1890,2090,2640,3250
2025,37087,1270,1310,1460,1840,2250
2025,37088,1500,1560,1730,2190,2690
2025,37089,1520,1580,1750,2210,2720
2025,37090,1500,1560,1730,2180,2680
2025,37095,1270,1300,1460,1840,2240
2025,37101,1270,1300,1460,1840,2240
2025,37110,810,810,930,1170,1450
2025,37115,1440,1500,1660,2100,2580
2025,37116,1630,1690,1870,2360,2910
2025,37118,1270,1300,1460,1840,2240
2025,37121,1500,1560,1730,2190,2690
2025,37122,2030,2100,2330,2940,3620
2025,37127,1410,1460,1620,2050,2520
2025,37128,1680,1740,1930,2440,3000
2025,37129,1630,1690,1870,2360,2910
2025,37130,1300,1350,1490,1880,2320
2025,37131,1520,1580,1750,2210,2720
2025,37132,1300,1350,1490,1880,2320
2025,37133,1520,1580,1750,2210,2720
2025,37135,2380,2470,2740,3460,4260
2025,37138,1550,1610,1780,2250,2770
2025,37141,1330,1380,1530,1930,2380
2025,37143,1400,1450,1610,2030,2500
2025,37146,1500,1560,1730,2190,2690
2025,37148,1270,1300,1460,1840,2240
2025,37149,1270,1300,1460,1840,2240
2025,37152,1310,1360,1510,1910,2350
2025,37153,1760,1830,2020,2560,3140
2025,37160,1270,1300,1460,1840,2240
2025,37165,1270,1300,1460,1840,2240
2025,37166,1270,1300,1460,1840,2240
2025,37167,1450,1510,1670,2110,2600
2025,37171,1270,1300,1460,1840,2240
2025,37172,1320,1370,1520,1920,2360
2025,37174,1840,1890,2220,2810,3230
2025,37179,2350,2440,2700,3410,4200
2025,37180,1270,1300,1460,1840,2240
2025,37181,1270,1300,1460,1840,2240
2025,37184,1270,1300,1460,1840,2240
2025,37186,1270,1300,1460,1840,2240
2025,37187,1270,1300,1460,1840,2240
2025,37188,1510,1570,1740,2200,2700
2025,37189,1370,1420,1570,1980,2440
2025,37190,1270,1300,1460,1840,2240
2025,37201,2260,2350,2600,3280,4040
2025,37202,1630,1690,1870,2360,2910
2025,37203,1740,1810,2000,2530,3110
2025,37204,2040,2120,2350,2970,3650
2025,37205,2070,2150,2380,3010,3700
2025,37206,1640,1710,1890,2390,2940
2025,37207,1270,1320,1460,1840,2270
2025,37208,1670,1730,1920,2430,2980
2025,37209,1700,1770,1960,2480,3050
2025,37210,1430,1490,1650,2080,2560
2025,37211,1550,1610,1780,2250,2770
2025,37212,1680,1740,1930,2440,3000
2025,37213,1670,1740,1920,2420,2980
2025,37214,1780,1850,2050,2590,3190
2025,37215,2080,2160,2390,3020,3720
2025,37216,1640,1710,1890,2390,2940
2025,37217,1550,1610,1780,2250,2770
2025,37218,1410,1460,1620,2050,2520
2025,37219,2170,2260,2500,3160,3890
2025,37220,2380,2470,2740,3460,4260
2025,37221,1950,2020,2240,2830,3480
