BEST_PARENT,parcels,source,addr
Pretium Partners (Goldman Sachs),1200,canon_parent,7500 N DOBSON RD SUITE 300
AMH (NYSE: AMH),1103,canon_parent,30601 AGOURA RD 200 AGOURA HILLS CA 91301
Regent (builder / BTR),784,canon_parent,5647 GRANNY WHITE PK BRENTWOOD TN 37027
801 CHURCH LLC,619,name_only,424 CHURCH ST STE 2900 NASHVILLE TN 37219
LEGACY SOUTH LLC,616,name_only,2305 CRUZEN ST NASHVILLE TN 37211
Regional builder,604,canon_parent,118 16TH AVE S STE 200 NASHVILLE TN 37203
Amherst Group / Main Street Renewal,467,canon_parent,100 MAXWELL XING BRENTWOOD TN 37027
Meritage (NYSE: MTH),387,canon_parent,17581 N85TH ST STE 300 SCOTTSDALE AZ 85255
Normandy (Ole South pipeline),347,canon_parent,2200 HILLSBORO RD STE 200 NASHVILLE TN 37212
Blackstone (+ Home Partners),292,canon_parent,"15771 Red Hill Ave, Tustin, CA 92780"
HILL H G REALTY CO,282,name_only,2995 SIDCO DR NASHVILLE TN 37204
Progress Residential,279,curated_brand,319 EZELL PIKE NASHVILLE TN 37217
BVT BRITISH WOODS APTS LTD,261,name_only,C/O 1ST MGM SERVICE 222 3RD AV N 575 NASHVILLE TN 37201
EMORY RESIDENCES LLC,260,name_only,12770 EL CAMINO REAL STE 200 SAN DIEGO CA 92130
RIVER RETREAT LTD,254,name_only,THOMPSON PL NASHVILLE TN 37217
Amherst,227,curated_brand,5001 PLAZA ON THE LAKE STE 200 AUSTIN TX 78746
LAKE SHORE ESTATES INC,223,name_only,7401 HWY 70 S NASHVILLE TN 37221
AVA MADISON LLC,203,name_only,3060 PEACHTREE RD STE 960 ATLANTA GA 30305
2174 RIVENDELL TERRACE LLC,189,name_only,421 EAST IRIS DR STE 300 NASHVILLE TN 37204
E3 CONSTRUCTION SERVICES LLC,181,name_only,3703 MEADOWBROOK AVE NASHVILLE TN 37205
PARAGON PLACE ASSOCIATES LTD,180,name_only,%THE CARTER CO INC 607 DUE WEST AV 116 MADISON TN 37115
Crescent Communities,178,canon_parent,601 S TRYON ST STE 800 CHARLOTTE NC 28202
BARS HOOPER HOLDINGS LLC,176,name_only,3710 FRANKLIN PIKE NASHVILLE TN 37204
Vastland,174,canon_parent,1700 HAYES ST STE 104 NASHVILLE TN 37203
Brookfield / Nuveen,172,canon_parent,1030 RIVENOAK ST BIRMINGHAM MI 48009
Phillips Builders,170,canon_parent,2910 KRAFT DR NASHVILLE TN 37204
Starwood Capital Group,170,canon_parent,581 CASTLEGATE DR
