parid,apn,acct
13,00200003600,58
33,00200004500,67
41,00200004900,71
70,00200000300,7
74,00200000700,8
76,00200001001,10
96,00200001300,17
97,00200001400,18
105,00200001600,24
121,00200002000,36
129,00200002400,40
130,00200002401,41
141,00200002700,45
154,00200008900,116
165,00300000800,123
167,00300000900,124
169,00300001000,125
173,00300001200,127
177,00400000700,181
180,00400000900,183
181,00400001000,184
198,00400001600,188
200,00400001700,189
205,00300001500,129
207,00300001600,130
208,00300001700,131
209,00300001800,132
223,00300002700,139
225,00300002800,140
227,00300002801,141
228,00300002900,142
229,00300003000,143
232,00300003100,144
233,00300003200,145
237,00300003400,146
243,00300003600,148
249,00300003900,150
251,00300004100,152
252,00300004200,153
254,00300004400,155
255,00300004500,156
257,00300004600,157
261,00300005000,158
265,00300005200,160
266,00300005300,161
272,00300005600,164
276,00300005900,167
277,00300006000,168
278,00300006100,169
281,00300006200,170
285,00300006300,171
286,00300006400,172
287,00300006500,173
292,00400000100,174
293,00400000200,175
295,00400000300,176
314,00400000400,177
315,00400000500,178
320,00400000600,179
322,00400000601,180
341,00200007400,97
367,00200007900,106
381,00400011000,277
383,00400011100,278
384,00400011200,279
385,00400011300,280
388,00400011500,282
390,00400011600,283
392,00400011800,285
394,00400011900,286
395,00400012000,287
398,00400012200,289
400,00400012300,290
404,00400012500,291
406,00400012600,292
407,00400012700,293
429,00400002300,194
432,00400002600,197
436,00400003000,201
454,00400003300,204
457,00400003400,205
458,00400003500,206
460,00400003600,207
461,00400003700,208
462,00400003800,209
471,00400004100,211
472,00400004101,212
473,00400004200,213
474,00400004300,214
475,00400004301,215
476,00400004400,216
477,00400004501,217
479,00400004600,218
480,00400004700,219
481,00400004800,220
482,00400004900,221
483,00400005000,222
484,00400005100,223
488,00400005108,224
491,00400005200,225
492,00400005300,226
497,00400005500,228
501,00400005600,229
509,00400006000,232
512,00400006200,234
513,00400006300,235
517,00400006400,236
519,00400006500,237
520,00400006700,238
523,00400006900,240
524,00400007000,241
526,00400007200,243
527,00400007300,244
529,00400007400,245
531,00400007500,246
534,00400007700,248
535,00400007800,249
536,00400007900,250
538,00400008000,251
543,00400008200,252
547,00400008400,253
549,00400008500,254
550,00400008600,255
551,00400008700,256
552,00400008800,257
553,00400008900,258
554,00400009000,259
559,00400009400,262
560,00400009500,263
568,00400010100,268
570,00400010200,269
574,00400010400,271
575,00400010500,272
581,00400010900,276
587,00400018100,344
589,00400018300,346
591,00400018500,348
592,00400018600,349
594,00400019000,351
595,00400019100,352
596,00400019200,353
597,00400019300,354
598,00400019500,355
599,00400019600,356
600,00400019700,357
605,00400020000,360
606,00400020100,361
607,00400020200,362
608,00400020300,363
609,00400020400,364
610,00400020500,365
611,00400020900,366
614,00400021200,216863
617,00600001000,427
619,00600001100,428
620,00600001200,429
621,00600001300,430
622,00600001400,431
642,00600001800,439
644,00400021300,219258
646,00500000200,370
654,00500000302,372
655,00500000303,373
659,00500000304,374
660,00500000305,375
663,00500000307,377
664,00500000400,378
667,00500000600,380
671,00500000700,381
672,00500000800,382
680,00500001100,384
693,00500001300,386
703,00500001401,391
704,00500001402,392
705,00500001500,393
710,00500001800,395
716,00500002300,399
719,00500002400,400
720,00500002500,401
721,00500002600,402
722,00500002700,403
723,00500002800,404
724,00500002900,405
727,00500003100,406
728,00500003200,407
730,00500003400,409
735,00500003900,414
736,00500004000,415
738,00500004100,416
740,00500004300,418
741,00500004400,419
742,00600000200,420
746,00600000400,422
748,00600000600,424
764,00600000900,426
766,00400013100,296
768,00400013300,297
769,00400013400,298
771,00400013500,299
772,00400013600,300
775,00400013700,301
777,00400013900,303
780,00400014200,306
782,00400014400,308
783,00400014500,309
787,00400014700,311
788,00400014800,312
789,00400014900,313
790,00400015000,314
792,00400015100,315
793,00400015200,316
797,00400015400,318
798,00400015500,319
799,00400015600,320
800,00400015700,321
801,00400015800,322
802,00400015900,323
803,00400016000,324
804,00400016100,325
805,00400016200,326
806,00400016300,327
807,00400016400,328
809,00400016600,330
813,00400016700,331
816,00400016900,333
819,00400017200,336
820,00400017400,337
821,00400017500,338
824,00400017800,341
825,00400017900,342
828,00600009400,533
829,00600009500,534
836,00600009900,538
837,00600010000,539
838,00600010100,540
839,00600010200,541
843,00600010400,542
844,00600010500,543
848,00600010900,547
853,00600011100,549
854,00600011200,550
856,00600002000,441
857,00600002100,442
858,00600002200,443
861,00600002301,445
877,00600002501,452
878,00600002502,453
879,00600002600,454
880,00600002700,455
881,00600002800,456
883,00600002900,457
885,00600003100,459
896,00600003603,468
897,00600003604,469
898,00600003605,470
899,00600003606,471
923,00600004200,483
931,00600004201,484
936,00600004300,485
938,00600004500,486
943,00600004800,488
948,00600005000,490
950,00600005200,492
951,00600005300,493
952,00600005400,494
953,00600005500,495
954,00600005700,496
958,00600006100,500
967,00600006800,507
971,00600006900,508
975,00600007100,510
984,00600007300,512
985,00600007400,513
995,00600007600,515
996,00600007700,516
997,00600007800,517
1000,00600007900,518
1001,00600008000,519
1010,00600008500,524
1016,00600008900,528
1025,00600009100,530
1033,00600015900,220701
1034,00600016000,219259
1036,00700000100,575
1049,00700000301,578
1054,00700000400,579
1060,00700000600,581
1069,00700005300,626
1072,00700005400,627
1077,00700005500,628
1087,00700005600,629
1091,00700000700,582
1093,00700000800,583
1095,00700000900,584
1098,00700001000,585
1101,00700001700,588
1105,00700001900,590
1107,00700002000,591
1109,00700002100,592
1113,00700002200,593
1115,00700002201,594
1117,00700002300,595
1120,00700002400,596
1123,00700002500,597
1128,00700002600,598
1130,00700002700,599
1132,00700002800,600
1134,00700002900,601
1136,00700003000,602
1140,00700003200,604
1142,00700003300,605
1147,00700003400,606
1149,00700003401,607
1151,00700003402,608
1155,00700003600,610
1158,00700003700,611
1162,00700003900,613
1165,00700004000,614
1168,00700004100,615
1171,00700004200,616
1174,00700004300,617
1177,00700004400,618
1180,00700004500,619
1193,00700004900,622
1196,00700005000,623
1201,00600011300,551
1202,00600011400,552
1203,00600011500,553
1210,00600012100,559
1229,00600013100,571
1245,00600014700,573
1248,00600015100,201546
1254,00600015400,201549
1258,00600015600,201551
1260,00700016700,733
1262,00700016800,734
1265,00700017000,736
1266,00700017100,737
1275,00700017600,741
1277,00700017700,742
1278,00700017800,743
1279,00700017900,744
1280,00700018000,745
1281,00700018100,746
1282,00700018200,747
1283,00700018300,748
1284,00700018400,749
1285,00700018500,750
1286,00700018600,751
1287,00700018700,752
1289,00700005800,631
1290,00700005900,632
1292,00700006100,634
