address,nashville_owner_groups,nashville_parcels,atlanta_owners,hub_flag
5001 PLAZA ON THE LAKE STE 200 AUSTIN TX 78746,"ALTO ASSET COMPANY 6, LLC; ARVM 5, LLC; BAF 2, LLC; BEAZER HOMES, LLC; CPI/ AMHERST SFR PROGRAM OWNER LLC; EPH 2 ASSETS, LLC",191,"HOME SFR BORROWER IV LLC, BTR SCATTERED SITE OWNER 2 LLC, CPI AMHERST SFR PROGRGAM OWNER LLC",
3630 PEACHTREE RD NE STE 1500 ATLANTA GA 30326,RESICAP TENNESSEE OWNER II LLC,40,"RESICAP GEORGIA OWNER III LLC, INVGRP9 LLC",
15771 RED HILL AVE STE 100 TUSTIN CA 92780,"SFR 2025 2 BORROWER, LLC",21,"TRICON SFR 2020 2 BORROWER LLC, SFR JV 2 2023 1 BORROWER LLC",
3225 MCLEOD DR STE 100 LAS VEGAS NV 89121,"MODERN COVE, LLC",13,"UNKNOWN OWNER, 1330 OLD COUNTRY SIDE CIRCLE LLC, 1146 IRA LLC, JON SCOTT II LLC",
3630 PEACHTREE RD STE 1500 ATLANTA GA 30326,RESICAP TENNESSEE OWNER II LLC,10,RESICAP GEORGIA OWNER III LLC,
3091 GOVERNORS LAKE DR STE 200 NORCROSS GA 30071,"BMCH TENNESSEE, LLC",4,"CENTURY COMMUNITIES OF GEORGIA LLC, CENTURY COMMUNITES OF GA LLC",
303 PEACHTREE CENTER AVE NE STE 575 ATLANTA GA 30303,ELEVEN NORTH LAND TN LLC,4,PORTMAN FOUNDATION THE,
30 N GOULD ST STE R SHERIDAN WY 82801,"DMW PROPERTIES, LLC",4,ASPEN RISE HATHAWAY LLC,
1209 ORANGE ST WILMINGTON DE 19801,"PV BURTON, LLC",3,"RESICAP GEORGIA OWNER III LLC, OPENDOOR PROPERTY TRUST I, HOME RENT 2 LLC, MCLEAN SFR INVESTMENT LLC, OVERLOOK TH BROOKHAVEN LP",
465 MEETING ST STE 500 CHARLESTON SC 29403,"GS 19TH & BROADWAY APARTMENTS, LLC",3,"GBFR DEERHAVEN LLC, DEVELOPMENT AUTHORITY OF FULTON COUNTY",
2905 NORTHWEST BLVD STE 150 MINNEAPOLIS MN 55441,HERMITAGE ACQUISITIONS I LLC,2,EAST POINT ACQUISITIONS II LLC,
500 VOLVO PKWY CHESAPEAKE VA 23320,"DT RETAIL PROPERTIES, LLC",2,FIFTY THREE TWENTY FIVE,
3630 PEACHTREE RD NE ATLANTA GA 30326,RESICAP TENNESSEE OWNER II LLC,2,RESICAP GEORGIA OWNER III LLC,
814 E MAIN ST RICHMOND VA 23219,"APPLE NINE HOSPITALITY OWNERSHIP, INC.",2,HDP SPRUILL LLC,
500 N BROADWAY STE 201 JERICHO NY 11753,ELLIS  DAVIDSON COUNTY PROPERTY TRUST ETAL,2,"EMBRY VILLAGE SC LLC, DECIDE DEKALB DEVELOPMENT AUTHORITY",
3350 PEACHTREE RD NE STE 800 ATLANTA GA 30326,PR NASHVILLE INTERCHANGE PHASE I LLC,2,OPENDOOR PROPERTY TRUST I,
2180 W SR 434 STE 5000 LONGWOOD FL 32779,WHITWORTH HOMEOWNERS' ASSOCIATION INC,1,"SEPTEMBER CHASE ASSOCIATION, BROOKWOOD HOMEOWNERS ASSOCIATION INC",
4645 HAWTHORNE LN NW WASHINGTON DC 20016,CARTER  REALTY INVESTMENTS,1,SFR XII NM ATL OWNER 1 LP,
1626 JEURGENS CT NORCROSS GA 30093,"DAVIDSON HEALTHCARE PROPERTIES, INC",1,"BUCKHEAD HEALTHCARE PROPERTIES INC, PRUITT PROPERTIES INC",
4828 LOOP CENTRAL DR HOUSTON TX 77081,"HOMECOMINGS FINANCIAL NETWORK, INC.",1,SFR XII NM ATL OWNER 1 LP,
2 ALLEGHENY CTR STE 200 PITTSBURGH PA 15212,"NRHQ, LLC",1,KIAVI FUNDING INC,
2424 RIDGE RD ROCKWALL TX 75087,PBONE ARTISAN LLC,1,SCF RC FUNDING I LLC,
